#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,VYD135,SAMN13879941,PRJNA577944,GCA_011057565.1,Contig,19.1251,48.2,,JAACNN01,17,0,2020-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/057/565/GCA_011057565.1_ASM1105756v1,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Bt88,SAMN10848847,PRJNA517966,GCA_010065315.1, Chromosome,19.0997,48.2861,chromosome 1:CM021047.1; chromosome (3;11):CM021058.1; chromosome 4:CM021048.1; chromosome 5:CM021049.1; chromosome 6:CM021050.1; chromosome 7:CM021051.1; chromosome 8:CM021052.1; chromosome 9:CM021053.1; chromosome 10:CM021054.1; chromosome (11;3):CM021057.1; chromosome 12:CM021055.1; chromosome 14:CM021056.1,JAACIV01,16,0,2020-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/315/GCA_010065315.1_BROAD_CneoA_Bt88_1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,Bt133,SAMN20427122,PRJNA749953,GCA_023650595.1,Complete,19.0904,48.2912,chromosome 1:CP097952.1; chromosome 2:CP097953.1; chromosome 3:CP097954.1; chromosome 4:CP097955.1; chromosome 5:CP097956.1; chromosome 6:CP097957.1; chromosome 7:CP097958.1; chromosome 8:CP097959.1; chromosome 9:CP097960.1; chromosome 10:CP097961.1; chromosome 11:CP097962.1; chromosome 12:CP097963.1; chromosome 13:CP097964.1; chromosome 14:CP097965.1,,14,0,2022-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/650/595/GCA_023650595.1_ASM2365059v1,
Cryptococcus neoformans var. grubii H99,Eukaryota;Fungi;Basidiomycetes,H99,SAMN13041967,PRJNA577944,GCA_011801205.1,Complete,19.0899,48.2154,chromosome 01:CP047902.1; chromosome 02:CP047903.1; chromosome 03:CP047904.1; chromosome 04:CP047905.1; chromosome 05:CP047906.1; chromosome 06:CP047907.1; chromosome 07:CP047908.1; chromosome 08:CP047909.1; chromosome 09:CP047910.1; chromosome 10:CP047911.1; chromosome 11:CP047912.1; chromosome 12:CP047913.1; chromosome 13:CP047914.1; chromosome 14:CP047915.1,,14,0,2020-03-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/801/205/GCA_011801205.1_ASM1180120v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,VYD148,SAMN13879945,PRJNA577944,GCA_011057475.1,Contig,19.0881,48.2,,JAACNJ01,17,0,2020-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/057/475/GCA_011057475.1_ASM1105747v1,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Ftc146-1,SAMN10848922,PRJNA517966,GCA_010065285.1, Chromosome,19.0785,48.2092,chromosome 1:CM021021.1; chromosome (3;11):CM021033.1; chromosome 4:CM021022.1; chromosome 5:CM021023.1; chromosome 6:CM021024.1; chromosome 7:CM021025.1; chromosome 8:CM021026.1; chromosome 9:CM021027.1; chromosome 10:CM021028.1; chromosome (11;3):CM021032.1; chromosome 12:CM021029.1; chromosome 13:CM021030.1; chromosome 14:CM021031.1; mitochondrion MT:CM021099.1,JAACIT01,17,0,2020-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/285/GCA_010065285.1_BROAD_CneoA_Ftc146-1_1,
Cryptococcus neoformans var. neoformans JEC21,Eukaryota;Fungi;Basidiomycetes,JEC21,SAMN03081418,PRJNA13856,GCA_000091045.1, Chromosome,19.0519,48.5368,chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1,,14,6863,2005-01-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/045/GCF_000091045.1_ASM9104v1
Cryptococcus neoformans var. neoformans XL280,Eukaryota;Fungi;Basidiomycetes,XL280,SAMN07333481,PRJNA217913,GCA_002216205.1, Chromosome,19.0499,48.5253,chromosome 4:CM008076.1; chromosome 5:CM008077.1; chromosome 9:CM008078.1; chromosome 11:CM008079.1; chromosome 13:CM008080.1,AWPH01,37,0,2017-07-10T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,Bt106,SAMN10848846,PRJNA517966,GCA_010065385.1, Chromosome,19.0479,48.1821,chromosome 1:CM021084.1; chromosome (3;11):CM021096.1; chromosome (4;10):CM021097.1; chromosome 5:CM021085.1; chromosome 6:CM021086.1; chromosome 7:CM021087.1; chromosome 8:CM021088.1; chromosome 9:CM021089.1; chromosome (10;4):CM021094.1; chromosome (11;3):CM021095.1; chromosome 11:CM021090.1; chromosome 12:CM021091.1; chromosome 13:CM021092.1; chromosome 14:CM021093.1,JAACIW01,18,0,2020-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/385/GCA_010065385.1_BROAD_CneoA_Bt106_1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,Bt89,SAMN20427121,PRJNA749953,GCA_023650575.1,Complete,19.0455,48.2999,chromosome 1:CP097938.1; chromosome 2:CP097939.1; chromosome 3:CP097940.1; chromosome 4:CP097941.1; chromosome 5:CP097942.1; chromosome 6:CP097943.1; chromosome 7:CP097944.1; chromosome 8:CP097945.1; chromosome 9:CP097946.1; chromosome 10:CP097947.1; chromosome 11:CP097948.1; chromosome 12:CP097949.1; chromosome 13:CP097950.1; chromosome 14:CP097951.1,,14,0,2022-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/650/575/GCA_023650575.1_ASM2365057v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,VYD136,SAMN13879942,PRJNA577944,GCA_011057545.1,Contig,19.0454,48.2,,JAACNM01,17,0,2020-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/057/545/GCA_011057545.1_ASM1105754v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,VNII,SAMN23424732,PRJNA783275,GCA_022832995.1,Complete,18.9574,48.2168,chromosome 1:CP091247.1; chromosome 2:CP091248.1; chromosome 3:CP091249.1; chromosome 4:CP091250.1; chromosome 5:CP091251.1; chromosome 6:CP091252.1; chromosome 7:CP091253.1; chromosome 8:CP091254.1; chromosome 9:CP091255.1; chromosome 10:CP091256.1; chromosome 11:CP091257.1; chromosome 12:CP091258.1; chromosome 13:CP091259.1; chromosome 14:CP091260.1,,14,6585,2022-04-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/832/995/GCA_022832995.1_ASM2283299v1,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,A5-35-17,SAMN10848834,PRJNA517966,GCA_010065405.1, Chromosome,18.9339,48.2091,chromosome 1:CM021072.1; chromosome 2:CM021073.1; chromosome (3;11):CM021083.1; chromosome 4:CM021074.1; chromosome 5:CM021075.1; chromosome 7:CM021076.1; chromosome 9:CM021077.1; chromosome 10:CM021078.1; chromosome (11;3):CM021082.1; chromosome 12:CM021079.1; chromosome 13:CM021080.1; chromosome 14:CM021081.1,JAACIX01,16,0,2020-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/405/GCA_010065405.1_BROAD_Cneof_A5-35-17_1,
Cryptococcus neoformans var. grubii Br795,Eukaryota;Fungi;Basidiomycetes,Br795,SAMN01162750,PRJNA174544,GCA_002222225.1,Contig,18.9302,48.2,,AMLE01,625,6945,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,H99,SAMN07445199,PRJNA395628,GCA_003011985.1,Scaffold,18.9287,48.2,,NPNB01,14,0,2018-03-20T00:00:00Z,,
Cryptococcus neoformans var. grubii H99,Eukaryota;Fungi;Basidiomycetes,H99,SAMN03081441,PRJNA411,GCA_000149245.3, Chromosome,18.9161,48.1988,chromosome 1:NC_026745.1/CP003820.1; chromosome 2:NC_026746.1/CP003821.1; chromosome 3:NC_026747.1/CP003822.1; chromosome 4:NC_026748.1/CP003823.1; chromosome 5:NC_026749.1/CP003824.1; chromosome 6:NC_026750.1/CP003825.1; chromosome 7:NC_026751.1/CP003826.1; chromosome 8:NC_026752.1/CP003827.1; chromosome 9:NC_026753.1/CP003828.1; chromosome 10:NC_026754.1/CP003829.1; chromosome 11:NC_026755.1/CP003830.1; chromosome 12:NC_026756.1/CP003831.1; chromosome 13:NC_026757.1/CP003832.1; chromosome 14:NC_026758.1/CP003833.2; mitochondrion MT:NC_018792.1/CP003834.1,,15,7826,2012-09-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/245/GCA_000149245.3_CNA3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/245/GCF_000149245.1_CNA3
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,KN99,SAMN06704791,PRJNA384617,GCA_002216725.1, Chromosome,18.9146,48.1988,chromosome 1:CP022321.1; chromosome 2:CP022322.1; chromosome 3:CP022323.1; chromosome 4:CP022324.1; chromosome 5:CP022325.1; chromosome 6:CP022326.1; chromosome 7:CP022327.1; chromosome 8:CP022328.1; chromosome 9:CP022329.1; chromosome 10:CP022330.1; chromosome 11:CP022331.1; chromosome 12:CP022332.1; chromosome 13:CP022333.1; chromosome 14:CP022334.1; mitochondrion MT:CP022335.1,,15,7818,2017-07-12T00:00:00Z,,
Cryptococcus neoformans var. grubii 125.91,Eukaryota;Fungi;Basidiomycetes,125.91,SAMN01162768,PRJNA174562,GCA_002215885.1,Scaffold,18.9109,47.1,,AMKM01,37,6939,2017-07-07T00:00:00Z,,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,C45,SAMN10848919,PRJNA517966,GCA_010065305.1, Chromosome,18.8913,48.1473,chromosome 2:CM021059.1; chromosome (3;11):CM021071.1; chromosome 4:CM021060.1; chromosome 5:CM021061.1; chromosome 6:CM021062.1; chromosome 7:CM021063.1; chromosome 8:CM021064.1; chromosome 9:CM021065.1; chromosome 10:CM021066.1; chromosome (11;3):CM021070.1; chromosome 12:CM021067.1; chromosome 13:CM021068.1; chromosome 14:CM021069.1; mitochondrion MT:CM021143.1,JAACIU01,16,0,2020-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/305/GCA_010065305.1_BROAD_CneoA_C45_1,
Cryptococcus neoformans var. grubii,Eukaryota;Fungi;Basidiomycetes,PMHc1023.ENR,SAMN10848925,PRJNA517966,GCA_010065295.1, Chromosome,18.8901,48.1731,chromosome 1:CM021034.1; chromosome 2:CM021035.1; chromosome (3;11):CM021046.1; chromosome 4:CM021036.1; chromosome 5:CM021037.1; chromosome 6:CM021038.1; chromosome 8:CM021039.1; chromosome 9:CM021040.1; chromosome 10:CM021041.1; chromosome (11;3):CM021045.1; chromosome 12:CM021042.1; chromosome 13:CM021043.1; chromosome 14:CM021044.1,JAACIS01,15,0,2020-01-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/295/GCA_010065295.1_BROAD_CneoA_PMHc1023.Enr_1,
Cryptococcus neoformans var. grubii C23,Eukaryota;Fungi;Basidiomycetes,C23,SAMN01162744,PRJNA174538,GCA_002215825.1,Scaffold,18.8856,48.2,,AMLK01,107,6932,2017-07-07T00:00:00Z,,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,KBCN0142,SAMN16236531,PRJNA664881,GCA_020975615.1, Chromosome,18.8809,48.2162,chromosome 1:CM037306.1; chromosome 2:CM037307.1; chromosome 3:CM037308.1; chromosome 4:CM037309.1; chromosome 5:CM037310.1; chromosome 6:CM037311.1; chromosome 7:CM037312.1; chromosome 8:CM037313.1; chromosome 9:CM037314.1; chromosome 10:CM037315.1; chromosome 11:CM037316.1; chromosome 12:CM037317.1; chromosome 13:CM037318.1; chromosome 14:CM037319.1,JAHXJE01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/615/GCA_020975615.1_ASM2097561v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,KBCN0134,SAMN16236532,PRJNA664881,GCA_020975585.1, Chromosome,18.8804,48.2162,chromosome 1:CM037292.1; chromosome 2:CM037293.1; chromosome 3:CM037294.1; chromosome 4:CM037295.1; chromosome 5:CM037296.1; chromosome 6:CM037297.1; chromosome 7:CM037298.1; chromosome 8:CM037299.1; chromosome 9:CM037300.1; chromosome 10:CM037301.1; chromosome 11:CM037302.1; chromosome 12:CM037303.1; chromosome 13:CM037304.1; chromosome 14:CM037305.1,JAHXJD01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/585/GCA_020975585.1_ASM2097558v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,KBCN0140,SAMN16236530,PRJNA664881,GCA_020975605.1, Chromosome,18.8801,48.2099,chromosome 1:CM037320.1; chromosome 2:CM037321.1; chromosome 3:CM037322.1; chromosome 4:CM037323.1; chromosome 5:CM037324.1; chromosome 6:CM037325.1; chromosome 7:CM037326.1; chromosome 8:CM037327.1; chromosome 9:CM037328.1; chromosome 10:CM037329.1; chromosome 11:CM037330.1; chromosome 12:CM037331.1; chromosome 13:CM037332.1; chromosome 14:CM037333.1,JAHXJF01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/605/GCA_020975605.1_ASM2097560v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,SACN00B1,SAMN16236528,PRJNA664881,GCA_020975675.1, Chromosome,18.88,48.2099,chromosome 1:CM037362.1; chromosome 2:CM037363.1; chromosome 3:CM037364.1; chromosome 4:CM037365.1; chromosome 5:CM037366.1; chromosome 6:CM037367.1; chromosome 7:CM037368.1; chromosome 8:CM037369.1; chromosome 9:CM037370.1; chromosome 10:CM037371.1; chromosome 11:CM037372.1; chromosome 12:CM037373.1; chromosome 13:CM037374.1; chromosome 14:CM037375.1,JAHXJH01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/675/GCA_020975675.1_ASM2097567v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,KBCN0138,SAMN16236527,PRJNA664881,GCA_020975665.1, Chromosome,18.88,48.2099,chromosome 1:CM037348.1; chromosome 2:CM037349.1; chromosome 3:CM037350.1; chromosome 4:CM037351.1; chromosome 5:CM037352.1; chromosome 6:CM037353.1; chromosome 7:CM037354.1; chromosome 8:CM037355.1; chromosome 9:CM037356.1; chromosome 10:CM037357.1; chromosome 11:CM037358.1; chromosome 12:CM037359.1; chromosome 13:CM037360.1; chromosome 14:CM037361.1,JAHXJI01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/665/GCA_020975665.1_ASM2097566v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,KBCN0135,SAMN16236533,PRJNA664881,GCA_020975545.1, Chromosome,18.8799,48.2099,chromosome 1:CM037278.1; chromosome 2:CM037279.1; chromosome 3:CM037280.1; chromosome 4:CM037281.1; chromosome 5:CM037282.1; chromosome 6:CM037283.1; chromosome 7:CM037284.1; chromosome 8:CM037285.1; chromosome 9:CM037286.1; chromosome 10:CM037287.1; chromosome 11:CM037288.1; chromosome 12:CM037289.1; chromosome 13:CM037290.1; chromosome 14:CM037291.1,JAHXJC01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/545/GCA_020975545.1_ASM2097554v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,SACN00B2,SAMN16236529,PRJNA664881,GCA_020975645.1, Chromosome,18.8797,48.2099,chromosome 1:CM037334.1; chromosome 2:CM037335.1; chromosome 3:CM037336.1; chromosome 4:CM037337.1; chromosome 5:CM037338.1; chromosome 6:CM037339.1; chromosome 7:CM037340.1; chromosome 8:CM037341.1; chromosome 9:CM037342.1; chromosome 10:CM037343.1; chromosome 11:CM037344.1; chromosome 12:CM037345.1; chromosome 13:CM037346.1; chromosome 14:CM037347.1,JAHXJG01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/645/GCA_020975645.1_ASM2097564v1,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,C23,SAMN16236534,PRJNA664881,GCA_020975565.1, Chromosome,18.877,48.2162,chromosome 1:CM037264.1; chromosome 2:CM037265.1; chromosome 3:CM037266.1; chromosome 4:CM037267.1; chromosome 5:CM037268.1; chromosome 6:CM037269.1; chromosome 7:CM037270.1; chromosome 8:CM037271.1; chromosome 9:CM037272.1; chromosome 10:CM037273.1; chromosome 11:CM037274.1; chromosome 12:CM037275.1; chromosome 13:CM037276.1; chromosome 14:CM037277.1,JAHXJB01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/565/GCA_020975565.1_ASM2097556v1,
Cryptococcus neoformans var. grubii Bt120,Eukaryota;Fungi;Basidiomycetes,Bt120,SAMN01162759,PRJNA174553,GCA_002222465.1,Scaffold,18.8514,46.7,,AMKV01,31,6906,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii A1-35-8,Eukaryota;Fungi;Basidiomycetes,A1-35-8,SAMN01162770,PRJNA174564,GCA_002221985.1,Scaffold,18.8199,48.2,,APKI01,557,7114,2017-07-20T00:00:00Z,,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,C36,SAMN16236538,PRJNA664881,GCA_020975435.1, Chromosome,18.8169,48.2028,chromosome 1:CM037208.1; chromosome 2:CM037209.1; chromosome 3:CM037210.1; chromosome 4:CM037211.1; chromosome 5:CM037212.1; chromosome 6:CM037213.1; chromosome 7:CM037214.1; chromosome 8:CM037215.1; chromosome 9:CM037216.1; chromosome 10:CM037217.1; chromosome 11:CM037218.1; chromosome 12:CM037219.1; chromosome 13:CM037220.1; chromosome 14:CM037221.1,JAHXIX01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/435/GCA_020975435.1_ASM2097543v1,
Cryptococcus neoformans var. grubii A5-35-17,Eukaryota;Fungi;Basidiomycetes,A5-35-17,SAMN01162769,PRJNA174563,GCA_002222215.1,Scaffold,18.8117,48.2,,APKH01,592,7144,2017-07-20T00:00:00Z,,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,C27,SAMN16236537,PRJNA664881,GCA_020975485.1, Chromosome,18.7947,48.2099,chromosome 1:CM037250.1; chromosome 2:CM037251.1; chromosome 3:CM037252.1; chromosome 4:CM037253.1; chromosome 5:CM037254.1; chromosome 6:CM037255.1; chromosome 7:CM037256.1; chromosome 8:CM037257.1; chromosome 9:CM037258.1; chromosome 10:CM037259.1; chromosome 11:CM037260.1; chromosome 12:CM037261.1; chromosome 13:CM037262.1; chromosome 14:CM037263.1,JAHXIY01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/485/GCA_020975485.1_ASM2097548v1,
Cryptococcus neoformans var. grubii Bt63,Eukaryota;Fungi;Basidiomycetes,Bt63,SAMN01162764,PRJNA174558,GCA_002234625.1,Scaffold,18.7932,47.1,,AMKQ01,53,6914,2017-07-27T00:00:00Z,,
Cryptococcus neoformans,Eukaryota;Fungi;Basidiomycetes,A5-35-17,SAMN16236536,PRJNA664881,GCA_020975495.1, Chromosome,18.7784,48.206,chromosome 1:CM037222.1; chromosome 2:CM037223.1; chromosome 3:CM037224.1; chromosome 4:CM037225.1; chromosome 5:CM037226.1; chromosome 6:CM037227.1; chromosome 7:CM037228.1; chromosome 8:CM037229.1; chromosome 9:CM037230.1; chromosome 10:CM037231.1; chromosome 11:CM037232.1; chromosome 12:CM037233.1; chromosome 13:CM037234.1; chromosome 14:CM037235.1,JAHXIZ01,14,0,2021-11-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/975/495/GCA_020975495.1_ASM2097549v1,
Cryptococcus neoformans var. grubii Bt15,Eukaryota;Fungi;Basidiomycetes,Bt15,SAMN01162760,PRJNA174554,GCA_002222335.1,Scaffold,18.7261,47.4,,AMKU01,33,6917,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii A2-102-5,Eukaryota;Fungi;Basidiomycetes,A2-102-5,SAMN01162746,PRJNA174540,GCA_002222375.1,Scaffold,18.6683,47.4,,AMLI01,47,6915,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii Ze90-1,Eukaryota;Fungi;Basidiomycetes,Ze90-1,SAMN01162767,PRJNA174561,GCA_002222385.1,Scaffold,18.6589,47.1,,AMKN01,164,6912,2017-07-20T00:00:00Z,,
Cryptococcus neoformans var. grubii CHC193,Eukaryota;Fungi;Basidiomycetes,CHC193,SAMN01162753,PRJNA174547,GCA_002222295.1,Contig,18.6485,48.2,,AMLB01,519,6960,2017-07-20T00:00:00Z,,
