#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6110,SAMEA8103431,PRJEB43128,GCA_905311415.1,Contig,4.35724,43.2,,CAJNPZ01,67,4412,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/311/415/GCA_905311415.1_NRS6110,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/311/415/GCF_905311415.1_NRS6110
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,HM-66,SAMN03272541,PRJNA271049,GCA_000878265.1,Contig,4.35656,42.9,,JXBC01,14,4947,2015-02-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/265/GCA_000878265.1_ASM87826v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/265/GCF_000878265.1_ASM87826v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,H1,SAMN08427274,PRJNA431955,GCA_011456075.1,Complete,4.35627,43.5,chromosome:CP026662.1,,1,0,2020-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/456/075/GCA_011456075.1_ASM1145607v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/456/075/GCF_011456075.1_ASM1145607v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DE0133,SAMN11792293,PRJNA543692,GCA_007679005.1,Scaffold,4.35553,43.3,,VEFQ01,193,4447,2019-07-30T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/679/005/GCF_007679005.1_ASM767900v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,PK3_2,SAMN07514322,PRJNA398615,GCA_003600775.1,Contig,4.35412,43.9,,NQYD01,1,4158,2018-09-28T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/600/775/GCF_003600775.1_ASM360077v1
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,PJ-7,SAMN10225146,PRJNA495413,GCA_003665215.1,Complete,4.35367,43.0747,chromosome:NZ_CP032855.1/CP032855.1; plasmid unnamed1:NZ_CP032856.1/CP032856.1,,2,4220,2018-10-17T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/215/GCF_003665215.1_ASM366521v1
Bacillus subtilis subsp. subtilis str. AUSI98,Bacteria;Terrabacteria group;Firmicutes,AUSI98,SAMN00000705,PRJNA32097,GCA_000245295.1,Scaffold,4.35315,43.5,,AFSF01,123,4382,2012-01-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/295/GCA_000245295.1_ASM24529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/295/GCF_000245295.1_ASM24529v1
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,2KL1,SAMN10225133,PRJNA495409,GCA_003665395.1,Complete,4.35027,43.0206,chromosome:NZ_CP032872.1/CP032872.1; plasmid unnamed1:NZ_CP032873.1/CP032873.1; plasmid unnamed2:NZ_CP032874.1/CP032874.1,,3,4247,2018-10-17T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/395/GCF_003665395.1_ASM366539v1
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,2RL2-3,SAMN10225147,PRJNA495414,GCA_003665275.1,Complete,4.34545,43.1168,chromosome:NZ_CP032857.1/CP032857.1; plasmid unnamed1:NZ_CP032858.1/CP032858.1; plasmid unnamed2:NZ_CP032859.1/CP032859.1,,3,4215,2018-10-17T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/275/GCF_003665275.1_ASM366527v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,SRCM103612,SAMN10796306,PRJNA516720,GCA_004119775.1,Complete,4.34316,43.2366,chromosome:NZ_CP035406.1/CP035406.1; plasmid unnamed1:NZ_CP035407.1/CP035407.1; plasmid unnamed2:NZ_CP035408.1/CP035408.1; plasmid unnamed3:NZ_CP035409.1/CP035409.1,,4,4315,2019-01-30T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/119/775/GCF_004119775.1_ASM411977v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6092,SAMEA8103423,PRJEB43128,GCA_905311005.1,Contig,4.33857,43.3,,CAJNPN01,59,4465,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/311/005/GCA_905311005.1_NRS6092,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/311/005/GCF_905311005.1_NRS6092
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NCTC3610,SAMEA2498479,PRJEB6403,GCA_900445475.1,Contig,4.3317,43.4,,UAQC01,16,4873,2018-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/445/475/GCA_900445475.1_27294_A01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/445/475/GCF_900445475.1_27294_A01
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,BS155,SAMN08143214,PRJNA421438,GCA_003265285.1,Complete,4.32617,43.5,chromosome:CP029052.1,,1,2718,2018-06-26T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/265/285/GCF_003265285.1_ASM326528v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,3610(phi3T),SAMN16794162,PRJNA678363,GCA_015645615.1,Contig,4.32586,43.1,,JADOXQ01,92,4375,2020-11-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/645/615/GCA_015645615.1_ASM1564561v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/645/615/GCF_015645615.1_ASM1564561v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,HS43,SAMN08861894,PRJNA448642,GCA_003052465.1,Contig,4.32182,43.2,,QANM01,96,4041,2018-04-16T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/052/465/GCF_003052465.1_ASM305246v1
Bacillus subtilis subsp. subtilis str. 168,Bacteria;Terrabacteria group;Firmicutes,168,SAMN14645747,PRJNA626600,GCA_013009385.1,Complete,4.31608,43.2,chromosome:NZ_CP053102.1/CP053102.1,,1,4336,2020-05-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/009/385/GCA_013009385.1_ASM1300938v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/009/385/GCF_013009385.1_ASM1300938v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,B4145,SAMN03174424,PRJNA266797,GCA_000830735.1,Scaffold,4.31547,43.3,,JXHQ01,152,4401,2015-02-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/735/GCA_000830735.1_ASM83073v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/735/GCF_000830735.1_ASM83073v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6085,SAMEA8103422,PRJEB43128,GCA_905310975.1,Contig,4.31518,43.4,,CAJNPM01,61,4375,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/310/975/GCA_905310975.1_NRS6085,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/310/975/GCF_905310975.1_NRS6085
Bacillus subtilis BSn5,Bacteria;Terrabacteria group;Firmicutes,DE0477,SAMN11792637,PRJNA543692,GCA_007667365.1,Scaffold,4.30959,43.4,,VDQY01,47,4385,2019-07-30T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/365/GCF_007667365.1_ASM766736v1
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,ABP2,SAMN10987339,PRJNA523788,GCA_010094155.1,Contig,4.30818,43.4,,JAABUF01,3,4176,2020-02-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/094/155/GCA_010094155.1_ASM1009415v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/094/155/GCF_010094155.1_ASM1009415v1
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,B4067,SAMN03167797,PRJNA266797,GCA_000828495.1,Scaffold,4.30764,43.3,,JSXS01,168,4399,2015-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/495/GCA_000828495.1_ASM82849v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/495/GCF_000828495.1_ASM82849v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,RIT-PI-W,SAMN30594659,PRJNA875050,GCA_025642835.1,Contig,4.3072,43.3,,JANZKN01,32,4325,2022-10-11T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/642/835/GCF_025642835.1_ASM2564283v1
Bacillus subtilis PS216,Bacteria;Terrabacteria group;Firmicutes,PS216,SAMN02009237,PRJNA196327,GCA_000385985.1,Contig,4.30719,43.8,,AQGR01,146,4270,2013-05-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/985/GCA_000385985.1_Bacillus_subtilis_PS216,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/985/GCF_000385985.1_Bacillus_subtilis_PS216
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,M1,SAMN02643343,PRJNA238340,GCA_002142515.1,Contig,4.30415,43,,JFBP01,266,4382,2017-05-16T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/515/GCF_002142515.1_ASM214251v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,SRCM102754,SAMN08707582,PRJNA438180,GCA_009913275.1,Complete,4.30277,43.3708,chromosome:NZ_CP028202.1/CP028202.1; plasmid unnamed1:NZ_CP028203.1/CP028203.1,,2,4260,2020-01-22T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/913/275/GCF_009913275.1_ASM991327v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,FJAT-4,SAMN21220196,PRJNA760656,GCA_019931715.1,Complete,4.29984,43.3355,chromosome:NZ_CP082924.1/CP082924.1; plasmid unnamed1:NZ_CP082925.1/CP082925.1,,2,4359,2021-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/931/715/GCA_019931715.1_ASM1993171v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/931/715/GCF_019931715.1_ASM1993171v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NCIB 3610,SAMN06472805,PRJNA377766,GCA_002055965.1,Complete,4.29982,43.3355,chromosome:NZ_CP020102.1/CP020102.1; plasmid pBS32:NZ_CP020103.1/CP020103.1,,2,4337,2017-03-21T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/965/GCF_002055965.1_ASM205596v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,P8_B1,SAMN13190559,PRJNA587401,GCA_009662435.1,Complete,4.29973,43.3355,chromosome:NZ_CP045922.1/CP045922.1; plasmid pBs003:NZ_CP045923.1/CP045923.1,,2,4352,2019-11-14T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/662/435/GCF_009662435.1_ASM966243v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,P8_B3,SAMN13190561,PRJNA587401,GCA_009662415.1,Complete,4.29973,43.3355,chromosome:NZ_CP045812.1/CP045812.1; plasmid pBs005:NZ_CP045813.1/CP045813.1,,2,4353,2019-11-14T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/662/415/GCF_009662415.1_ASM966241v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6186,SAMEA8103452,PRJEB43128,GCA_905319135.1,Contig,4.29969,43.3,,CAJNQQ01,77,4343,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/319/135/GCA_905319135.1_NRS6186,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/319/135/GCF_905319135.1_NRS6186
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,DS42_4,SAMN15078726,PRJNA336518,GCA_018603605.1,Contig,4.2987,43.3,,JAHFZQ01,24,4287,2021-05-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/603/605/GCA_018603605.1_ASM1860360v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/603/605/GCF_018603605.1_ASM1860360v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6204,SAMEA8103457,PRJEB43128,GCA_905319795.1,Contig,4.29605,43.5,,CAJNQY01,45,4339,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/319/795/GCA_905319795.1_NRS6204,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/319/795/GCF_905319795.1_NRS6204
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,MER 156,SAMN27922003,PRJNA832800,GCA_023713845.1,Contig,4.29601,43.6,,JAMAVL01,117,4347,2022-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/713/845/GCA_023713845.1_ASM2371384v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/713/845/GCF_023713845.1_ASM2371384v1
Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,Bacteria;Terrabacteria group;Firmicutes,NCIB 3610,SAMN10537431,PRJNA509107,GCA_006088795.1,Complete,4.29548,43.3353,chromosome:NZ_CP034484.1/CP034484.1; plasmid unnamed:NZ_CP034485.1/CP034485.1,,2,4351,2019-06-06T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/088/795/GCF_006088795.1_ASM608879v1
Bacillus subtilis subsp. subtilis,Bacteria;Terrabacteria group;Firmicutes,NBRC 13719,SAMD00169822,PRJDB8042,GCA_006741845.1,Complete,4.2953,43.3353,chromosome:NZ_AP019714.1/AP019714.1; plasmid pBSU1:NZ_AP019715.1/AP019715.1,,2,4353,2019-06-11T23:04:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/741/845/GCF_006741845.1_ASM674184v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6141,SAMEA8103443,PRJEB43128,GCA_905315375.1,Contig,4.29479,43.5,,CAJNQI01,48,4343,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/315/375/GCA_905315375.1_NRS6141,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/315/375/GCF_905315375.1_NRS6141
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,Dcl1,SAMN13734907,PRJNA598935,GCA_017352355.1,Contig,4.29439,43.2,,WVTC01,46,4338,2021-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/352/355/GCA_017352355.1_ASM1735235v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/352/355/GCF_017352355.1_ASM1735235v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6205,SAMEA8103458,PRJEB43128,GCA_905319825.1,Contig,4.29387,43.4,,CAJNQZ01,37,4333,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/319/825/GCA_905319825.1_NRS6205,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/319/825/GCF_905319825.1_NRS6205
Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,Bacteria;Terrabacteria group;Firmicutes,NCIB 3610,SAMN02469323,PRJNA29891,GCA_000186085.1, Chromosome,4.29297,43.343,chromosome:NZ_CM000488.1/CM000488.1,ABQL01,80,4230,2008-07-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/085/GCA_000186085.1_ASM18608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/085/GCF_000186085.1_ASM18608v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,2896,SAMN30154153,PRJNA548684,GCA_024653105.1,Contig,4.29143,43.1,,JANLFH01,54,4492,2022-08-14T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/653/105/GCF_024653105.1_ASM2465310v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,CU1,SAMN05933385,PRJNA349971,GCA_002093785.1,Contig,4.29117,43.7,,MOOX01,89,4154,2017-04-14T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/093/785/GCF_002093785.1_ASM209378v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,NRS6137,SAMEA8103442,PRJEB43128,GCA_905315385.1,Contig,4.28975,43.3,,CAJNQH01,56,4350,2021-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/315/385/GCA_905315385.1_NRS6137,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/315/385/GCF_905315385.1_NRS6137
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,pb2441,SAMN17574687,PRJNA694795,GCA_023612315.1,Complete,4.28872,43.5,chromosome:NZ_CP068982.1/CP068982.1,,1,4255,2022-05-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/612/315/GCA_023612315.1_ASM2361231v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/612/315/GCF_023612315.1_ASM2361231v1
Bacillus subtilis,Bacteria;Terrabacteria group;Firmicutes,154.2,SAMN27921939,PRJNA832800,GCA_023715025.1,Contig,4.28305,44.7,,JAMATC01,426,4391,2022-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/715/025/GCA_023715025.1_ASM2371502v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/715/025/GCF_023715025.1_ASM2371502v1
