#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","GTA-L356","SAMN25653830","PRJNA803486","GCA_022220765.1","Complete",2.95776,38,"chromosome:NZ_CP092059.1/CP092059.1",,1,2843,"2022-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/220/765/GCA_022220765.1_ASM2222076v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/220/765/GCF_022220765.1_ASM2222076v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","2BR25","SAMN14261395","PRJNA609411","GCA_018604205.1","Complete",2.95431,37.9,"chromosome:NZ_CP075875.1/CP075875.1",,1,2927,"2021-06-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/604/205/GCA_018604205.1_ASM1860420v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/205/GCF_018604205.1_ASM1860420v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CIIMS-NV-3","SAMN08177723","PRJNA422425","GCA_003409075.1","Complete",2.95408,37.9,"chromosome:NZ_CP031674.1/CP031674.1",,1,2896,"2018-08-20T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/409/075/GCF_003409075.1_ASM340907v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","OB040119","SAMN14928089","PRJNA632905","GCA_013177415.1","Complete",3.00976,37.9425,"chromosome:NZ_CP053630.1/CP053630.1; plasmid pOB040119:NZ_CP053631.1/CP053631.1",,2,2914,"2020-05-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/177/415/GCA_013177415.1_ASM1317741v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/177/415/GCF_013177415.1_ASM1317741v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN022990","SAMN02990220","PRJNA215355","GCA_002105635.1","Complete",3.02095,37.8667,"chromosome:NZ_CP020828.1/CP020828.1; plasmid pCFSAN022990:NZ_CP020829.1/CP020829.1",,2,2852,"2017-04-24T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/635/GCF_002105635.1_ASM210563v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","J1776","SAMN02203125","PRJNA203445","GCA_000438705.2","Complete",3.00952,37.9425,"chromosome:NC_021839.1/CP006598.1; plasmid unnamed:NC_022046.1/CP006612.1",,2,2914,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/705/GCA_000438705.2_ASM43870v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/705/GCF_000438705.2_ASM43870v2"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","J1817","SAMN02203129","PRJNA203445","GCA_000438725.2","Complete",3.00952,37.9425,"chromosome:NC_021827.1/CP006599.1; plasmid unnamed:NC_022047.1/CP006613.1",,2,2914,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/725/GCA_000438725.2_ASM43872v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/725/GCF_000438725.2_ASM43872v2"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","J1926","SAMN02203130","PRJNA203445","GCA_000438745.2","Complete",3.00951,37.9425,"chromosome:NC_021840.1/CP006600.1; plasmid unnamed:NC_022051.1/CP006614.1",,2,2912,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/745/GCA_000438745.2_ASM43874v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/745/GCF_000438745.2_ASM43874v2"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","2017-TE-6913-1","SAMN14896270","PRJNA261392","GCA_013122235.1","Complete",2.95362,37.9,"chromosome:NZ_CP053357.1/CP053357.1",,1,2857,"2020-05-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/122/235/GCA_013122235.1_ASM1312223v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/122/235/GCF_013122235.1_ASM1312223v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","3BS28","SAMN14261396","PRJNA609411","GCA_018604265.1","Complete",2.95361,37.9,"chromosome:NZ_CP075876.1/CP075876.1",,1,2924,"2021-06-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/604/265/GCA_018604265.1_ASM1860426v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/265/GCF_018604265.1_ASM1860426v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","OB050226","SAMN14928102","PRJNA632905","GCA_013177375.1","Complete",3.00925,37.9425,"chromosome:NZ_CP053632.1/CP053632.1; plasmid pOB050226:NZ_CP053633.1/CP053633.1",,2,2911,"2020-05-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/177/375/GCA_013177375.1_ASM1317737v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/177/375/GCF_013177375.1_ASM1317737v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","Lm N1546","SAMN04348334","PRJNA306211","GCA_001483445.1","Complete",3.03922,37.9715,"chromosome:NZ_CP013724.1/CP013724.1; plasmid pLmN1546:NZ_CP013725.1/CP013725.1",,2,2968,"2015-12-30T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/445/GCF_001483445.1_ASM148344v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","clinical isolate of L. monocytogenes","SAMEA6798783","PRJEB37937","GCA_015583955.1","Complete",3.03855,37.9715,"chromosome:NZ_CP064843.1/CP064843.1; plasmid unnamed:NZ_CP064844.1/CP064844.1",,2,2965,"2020-11-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/583/955/GCA_015583955.1_ASM1558395v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/583/955/GCF_015583955.1_ASM1558395v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","19-05816","SAMEA7376280","PRJEB29295","GCA_014987905.1","Complete",2.95117,38,"chromosome:NZ_CP063240.1/CP063240.1",,1,2884,"2020-10-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/987/905/GCA_014987905.1_ASM1498790v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/987/905/GCF_014987905.1_ASM1498790v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","ATCC 13932","SAMN08125522","PRJNA420913","GCA_003031895.1","Complete",2.95098,38,"chromosome:NZ_CP025219.1/CP025219.1",,1,2806,"2018-04-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/031/895/GCF_003031895.1_ASM303189v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","M13455","SAMN09760372","PRJNA428178","GCA_003390475.1","Complete",2.95098,38,"chromosome:NZ_CP031476.1/CP031476.1",,1,2806,"2018-08-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/390/475/GCF_003390475.1_ASM339047v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_778","SAMN11056493","PRJNA231221","GCA_006364655.1","Complete",2.95098,38,"chromosome:NZ_CP040988.1/CP040988.1",,1,2805,"2019-06-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/364/655/GCF_006364655.1_ASM636465v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","PartR-Lmonocytogenes-RM8376","SAMN14078809","PRJNA605254","GCA_022869685.1","Complete",2.95098,38,"chromosome:NZ_CP064373.1/CP064373.1",,1,2804,"2022-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/869/685/GCA_022869685.1_ASM2286968v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/869/685/GCF_022869685.1_ASM2286968v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","VIMVR081","SAMN05291439","PRJNA326713","GCA_001889585.2","Complete",2.95078,38,"chromosome:NZ_CP018148.2/CP018148.2",,1,2806,"2016-12-06T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/585/GCF_001889585.2_ASM188958v2"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","WSLC 1047","SAMN04286632","PRJNA302838","GCA_001454925.1","Complete",2.95075,38,"chromosome:NZ_CP013289.1/CP013289.1",,1,2798,"2015-12-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/454/925/GCF_001454925.1_ASM145492v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","OB020621","SAMN14927919","PRJNA632905","GCA_013137935.1","Complete",2.94923,38,"chromosome:NZ_CP053478.1/CP053478.1",,1,2850,"2020-05-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/137/935/GCA_013137935.1_ASM1313793v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/137/935/GCF_013137935.1_ASM1313793v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","L1846","SAMN02712416","PRJNA243081","GCA_001027085.1","Complete",2.94748,38,"chromosome:NZ_CP007688.1/CP007688.1",,1,2884,"2015-06-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/085/GCF_001027085.1_ASM102708v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","L2676","SAMN02713644","PRJNA243258","GCA_001027205.1","Complete",2.94729,38,"chromosome:NZ_CP007685.1/CP007685.1",,1,2880,"2015-06-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/205/GCF_001027205.1_ASM102720v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","FSL R9-0915","SAMN16231355","PRJNA664209","GCA_014843275.1","Complete",2.9962,37.9582,"chromosome:NZ_CP062124.1/CP062124.1; plasmid pr9-0915:NZ_CP062125.1/CP062125.1",,2,2866,"2020-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/843/275/GCA_014843275.1_ASM1484327v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/843/275/GCF_014843275.1_ASM1484327v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","LM43","SAMN17320319","PRJNA692333","GCA_016775765.1","Complete",2.94524,38,"chromosome:NZ_CP068601.1/CP068601.1",,1,2835,"2021-02-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/775/765/GCA_016775765.1_ASM1677576v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/775/765/GCF_016775765.1_ASM1677576v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","J2-064","SAMN02203122","PRJNA203445","GCA_000438625.1","Complete",2.94322,38,"chromosome:NC_021824.1/CP006592.1",,1,2824,"2013-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/625/GCA_000438625.1_ASM43862v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/625/GCF_000438625.1_ASM43862v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","AUF","SAMN13973245","PRJNA604515","GCA_010442835.1","Complete",2.94293,38,"chromosome:NZ_CP048400.1/CP048400.1",,1,2879,"2020-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/442/835/GCA_010442835.1_ASM1044283v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/442/835/GCF_010442835.1_ASM1044283v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","WSLC 1018","SAMN04286628","PRJNA302838","GCA_001454845.1","Complete",2.94251,38,"chromosome:NZ_CP013285.1/CP013285.1",,1,2810,"2015-12-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/454/845/GCF_001454845.1_ASM145484v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CIIMS-PH-1","SAMN07612368","PRJNA401967","GCA_003433415.1","Complete",2.94137,38,"chromosome:NZ_CP023321.1/CP023321.1",,1,2809,"2017-11-30T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/433/415/GCF_003433415.1_ASM343341v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","10-092876-1763 LM10","SAMN06297603","PRJNA371291","GCA_001999125.1","Complete",2.94091,37.9,"chromosome:NZ_CP019623.1/CP019623.1",,1,2831,"2017-02-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/125/GCF_001999125.1_ASM199912v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","GTA-L258","SAMN25653829","PRJNA803486","GCA_022220825.1","Complete",2.93992,38,"chromosome:NZ_CP092060.1/CP092060.1",,1,2815,"2022-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/220/825/GCA_022220825.1_ASM2222082v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/220/825/GCF_022220825.1_ASM2222082v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN023463","SAMN03002783","PRJNA215355","GCA_001047715.2","Complete",2.93973,38,"chromosome:NZ_CP012021.2/CP012021.2",,1,2815,"2015-07-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/047/715/GCF_001047715.2_ASM104771v2"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN023468","SAMN03002788","PRJNA541969","GCA_009648615.1","Complete",2.93973,38,"chromosome:NZ_CP045746.1/CP045746.1",,1,2814,"2019-11-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/615/GCF_009648615.1_ASM964861v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN023469","SAMN03002789","PRJNA541969","GCA_009648635.1","Complete",2.93973,38,"chromosome:NZ_CP045745.1/CP045745.1",,1,2813,"2019-11-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/635/GCF_009648635.1_ASM964863v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN023465","SAMN03002785","PRJNA541969","GCA_009648595.1","Complete",2.93973,38,"chromosome:NZ_CP045747.1/CP045747.1",,1,2814,"2019-11-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/595/GCF_009648595.1_ASM964859v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","CFSAN023464","SAMN03002784","PRJNA541969","GCA_009648675.1","Complete",2.93971,38,"chromosome:NZ_CP045748.1/CP045748.1",,1,2814,"2019-11-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/648/675/GCF_009648675.1_ASM964867v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","52873","SAMN10148454","PRJNA493236","GCA_008807875.1","Complete",2.93676,38.1,"chromosome:NZ_CP032668.1/CP032668.1",,1,2819,"2019-10-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/875/GCF_008807875.1_ASM880787v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","LMNC088 complete genome","SAMEA104314691","PRJEB22706","GCA_900231475.1","Complete",2.93597,37.9,"chromosome 1:NZ_LT985476.1/LT985476.1",,1,2844,"2018-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/231/475/GCA_900231475.1_LMNC088_complete_genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/231/475/GCF_900231475.1_LMNC088_complete_genome"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","NCCP 14714","SAMN08939835","PRJNA450488","GCA_004771175.1","Complete",2.93581,38,"chromosome:NZ_CP031141.1/CP031141.1",,1,2789,"2019-04-11T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/771/175/GCF_004771175.1_ASM477117v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","52869","SAMN10148451","PRJNA493236","GCA_008807895.1","Complete",2.93533,38,"chromosome:NZ_CP032669.1/CP032669.1",,1,2856,"2019-10-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/895/GCF_008807895.1_ASM880789v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","FORC_049","SAMN05363481","PRJNA328054","GCA_002220325.1","Complete",2.93503,38,"chromosome:NZ_CP016629.1/CP016629.1",,1,2800,"2017-07-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/325/GCF_002220325.1_ASM222032v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","FSCNU_000110","SAMN29673611","PRJNA858193","GCA_024399455.1","Complete",2.93364,38,"chromosome:NZ_CP101619.1/CP101619.1",,1,2804,"2022-07-25T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/399/455/GCF_024399455.1_ASM2439945v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","L2624","SAMN02713668","PRJNA243265","GCA_001027165.1","Complete",2.9325,38,"chromosome:NZ_CP007686.1/CP007686.1",,1,2802,"2015-06-03T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/165/GCF_001027165.1_ASM102716v1"
"Listeria monocytogenes","Bacteria;Terrabacteria group;Firmicutes","AUSMDU00000224","SAMN13191635","PRJNA556438","GCA_009664775.1","Complete",2.98937,37.9615,"chromosome:NZ_CP045972.1/CP045972.1; plasmid pAUSMDU00000224_01:NZ_CP045973.1/CP045973.1",,2,2892,"2019-11-17T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/775/GCF_009664775.1_ASM966477v1"
